 vbias	I(R1)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-01	-1.386624e-13
2.000000000000000e-01	-2.300230e-11
3.000000000000000e-01	-1.089812e-09
4.000000000000000e-01	-5.193611e-08
5.000000000000000e-01	-2.276172e-06
6.000000000000000e-01	-3.305471e-05
7.000000000000000e-01	-1.035365e-04
7.999999999999999e-01	-1.879488e-04
8.999999999999999e-01	-2.779875e-04
9.999999999999999e-01	-3.704456e-04
1.100000000000000e+00	-4.646448e-04
1.200000000000000e+00	-5.598638e-04
1.300000000000000e+00	-6.557845e-04
1.400000000000000e+00	-7.522394e-04
1.500000000000000e+00	-8.491085e-04
1.600000000000000e+00	-9.463066e-04
1.700000000000000e+00	-1.043772e-03
1.800000000000000e+00	-1.141458e-03
1.900000000000001e+00	-1.239331e-03
2.000000000000000e+00	-1.337362e-03
2.100000000000001e+00	-1.435530e-03
2.200000000000001e+00	-1.533817e-03
2.300000000000001e+00	-1.632209e-03
2.400000000000001e+00	-1.730694e-03
2.500000000000001e+00	-1.829261e-03
2.600000000000001e+00	-1.927902e-03
2.700000000000001e+00	-2.026611e-03
2.800000000000001e+00	-2.125380e-03
2.900000000000001e+00	-2.224205e-03
3.000000000000001e+00	-2.323080e-03
3.100000000000001e+00	-2.422001e-03
3.200000000000002e+00	-2.520965e-03
3.300000000000002e+00	-2.619969e-03
3.400000000000002e+00	-2.719009e-03
3.500000000000002e+00	-2.818084e-03
3.600000000000002e+00	-2.917190e-03
3.700000000000002e+00	-3.016325e-03
3.800000000000002e+00	-3.115489e-03
3.900000000000002e+00	-3.214678e-03
4.000000000000002e+00	-3.313892e-03
4.100000000000001e+00	-3.413129e-03
4.200000000000001e+00	-3.512387e-03
4.300000000000001e+00	-3.611666e-03
4.400000000000000e+00	-3.710965e-03
4.500000000000000e+00	-3.810282e-03
4.600000000000000e+00	-3.909616e-03
4.699999999999999e+00	-4.008967e-03
4.799999999999999e+00	-4.108333e-03
4.899999999999999e+00	-4.207715e-03
5.000000000000000e+00	-4.307111e-03
